Name,Is_Speaker,Total_Turns,Total_Words,Avg_Words_Per_Turn,Mentions_Out_Dict,Mentions_In_Dict
SAMPSON,True,20,261,13.05,"{""GREGORY"": 3, ""MONTAGUE"": 3}",{}
PETER,True,13,239,18.38,"{""ANON"": 2}","{""NURSE"": 5, ""MERCUTIO"": 1, ""JULIET"": 1, ""CAPULET"": 1, ""SECOND SERVANT"": 1}"
BALTHASAR,True,12,232,19.33,"{""CAPEL"": 1, ""ROMEO"": 1, ""JULIET"": 1}","{""ROMEO"": 1, ""FIRST WATCHMAN"": 1}"
CHORUS,True,2,219,109.5,"{""JULIET"": 1, ""ROMEO"": 1}",{}
SERVANT,True,10,183,18.3,"{""CAPULET"": 1, ""MONTAGUES"": 1}",{}
GREGORY,True,15,149,9.93,"{""JOHN"": 1, ""MONTAGUES"": 1}","{""SAMPSON"": 3}"
FIRST WATCHMAN,True,6,149,24.83,"{""JULIET"": 2, ""CAPULETS"": 1, ""MONTAGUES"": 1, ""BALTHASAR"": 1, ""FRIAR LAURENCE"": 1, ""ROMEO"": 2}",{}
SECOND SERVANT,True,6,96,16.0,"{""MARRY"": 1, ""PETER"": 1}",{}
FRIAR JOHN,True,4,96,24.0,{},{}
PAGE,True,4,81,20.25,"{""ANON"": 1}",{}
FIRST SERVANT,True,4,79,19.75,{},{}
FIRST MUSICIAN,True,9,62,6.89,{},{}
APOTHECARY,True,4,53,13.25,{},{}
FIRST CITIZEN,True,3,43,14.33,"{""CAPULETS"": 1, ""MONTAGUES"": 1, ""MERCUTIO"": 1, ""TYBALT"": 1}",{}
SECOND MUSICIAN,True,3,34,11.33,"{""JACK"": 1}",{}
LADY MONTAGUE,True,2,28,14.0,"{""ROMEO"": 1}",{}
THIRD WATCHMAN,True,1,26,26.0,{},{}
ABRAHAM,True,5,24,4.8,{},{}
SECOND CAPULET,True,2,17,8.5,{},{}
SECOND WATCHMAN,True,1,9,9.0,"{""ROMEO"": 1}",{}
MUSICIAN,True,1,8,8.0,{},{}
THIRD MUSICIAN,True,1,7,7.0,{},{}
JOHN,False,0,0,0.0,{},"{""GREGORY"": 1, ""FRIAR LAURENCE"": 3}"
MONTAGUES,False,0,0,0.0,{},"{""GREGORY"": 1, ""TYBALT"": 1, ""FIRST CITIZEN"": 1, ""SERVANT"": 1, ""FIRST WATCHMAN"": 1}"
CAPULETS,False,0,0,0.0,{},"{""FIRST CITIZEN"": 1, ""FRIAR LAURENCE"": 1, ""FIRST WATCHMAN"": 1}"
TUT,False,0,0,0.0,{},"{""ROMEO"": 1, ""BENVOLIO"": 1}"
CUPID,False,0,0,0.0,{},"{""ROMEO"": 1, ""MERCUTIO"": 1}"
ROSALINE,False,0,0,0.0,{},"{""ROMEO"": 3, ""BENVOLIO"": 1, ""MERCUTIO"": 2, ""FRIAR LAURENCE"": 4}"
GOD,False,0,0,0.0,{},"{""NURSE"": 5, ""JULIET"": 3}"
MARRY,False,0,0,0.0,{},"{""NURSE"": 4, ""SECOND SERVANT"": 1}"
ANON,False,0,0,0.0,{},"{""NURSE"": 1, ""PETER"": 2, ""PAGE"": 1}"
VENUS,False,0,0,0.0,{},"{""MERCUTIO"": 1, ""PARIS"": 1}"
JESU,False,0,0,0.0,{},"{""MERCUTIO"": 1, ""NURSE"": 1}"
LAURENCE,False,0,0,0.0,{},"{""ROMEO"": 1, ""NURSE"": 2, ""JULIET"": 3}"
FIE,False,0,0,0.0,{},"{""NURSE"": 1, ""FRIAR LAURENCE"": 1, ""LADY CAPULET"": 2}"
JACK,False,0,0,0.0,{},"{""MERCUTIO"": 1, ""SECOND MUSICIAN"": 1}"
ALACK,False,0,0,0.0,{},"{""NURSE"": 1, ""FRIAR LAURENCE"": 1}"
HIE,False,0,0,0.0,{},"{""NURSE"": 1, ""JULIET"": 1}"
SIRRAH,False,0,0,0.0,{},"{""CAPULET"": 2, ""PRINCE"": 1}"
CAPEL,False,0,0,0.0,{},"{""BALTHASAR"": 1, ""FRIAR LAURENCE"": 1}"
